Date,IWQU,SCV,MVOL,XDEM,EIMI,XDEV,IWDA + EMIM,IWDA,DBMF_Testfolio,SCV+MOM,Gov global EUR,SGLD
11/1997,,19717.145799253783,25511.058612317986,19345.586145564757,8820.334107729122,10000.0,15118.32720863305,112903.92922652062,,20225.745294953547,38877.74044825674,5951.025725444049
12/1997,,20475.951554981417,27074.92899506998,20393.13156033078,9097.224776346638,10161.918703903537,15702.299865513858,117343.89489982287,,21162.537392867674,39285.28872729568,5955.093194772523
01/1998,,20932.133149930723,28145.701935279256,21462.941933260765,8651.689246646934,10420.135253703524,16370.7583215425,123368.37568828471,,21955.753317589875,39767.09272297922,6421.73846977757
02/1998,,22450.02870177771,29514.01244565572,22823.516941354406,9547.557668345333,11714.57394131067,17487.14739486546,131403.41636267834,,23445.51628568568,39917.70517481855,6250.999505753676
03/1998,,23881.33655934895,31190.780073259128,24442.881111550996,9908.828324620465,12168.845510367288,18278.413001129764,137436.62340601595,,25026.150250850915,40151.11551261893,6349.984959011335
04/1998,,24152.88550771117,30871.204703203235,24837.718019269178,9775.773707413488,11766.746001800866,18305.071729329084,137819.3388720615,,25371.827328108764,40298.79837521232,6510.229732494932
05/1998,,23384.972945621183,30304.58888824945,24473.471189589025,8353.711147819957,11214.716472124976,17623.97671716576,133999.08004918916,,24787.557560042187,40759.28640335216,6058.22790673124
06/1998,,23096.407373242364,30561.64555309345,25582.638117800227,7453.580495836674,10905.296363220485,17877.09542789113,138154.94604427833,,25219.368178479308,40977.989611301695,6158.340932377566
07/1998,,21923.145902775053,30383.91785052156,26677.061286325832,7607.908940843032,10493.484296598814,17925.902048858432,138239.06430929902,,25189.713302952485,41186.94724963848,6017.702083642736
08/1998,,18440.064492114976,27566.030041847058,22485.597853930463,5452.039634245974,8998.642628098782,15187.55130180693,119295.3021533897,,21212.169467620803,42026.7726974119,5672.600210512614
09/1998,,17808.179934783435,27085.60286634089,21325.98135880397,5377.259186027749,8641.433536039653,14755.019022219196,115721.78243495231,,20281.88995236124,42973.76981911512,5812.469665397583
10/1998,,17744.321500529943,28018.20603452101,22048.36644741645,5692.14768626001,9872.099870073793,15503.801665574098,121502.5111224536,,20626.762719119168,42869.971611589724,5568.221260410731
11/1998,10000.0,18990.021033989957,29638.06339452533,24306.46084802365,6282.706891219233,10659.911905791336,16918.461493220784,132433.44644031988,,22446.09381358008,43109.42854268224,5776.384792243249
12/1998,10506.24662318815,19462.307230443374,30871.974093180423,26468.79589837063,6051.520741060338,10850.438056098106,17503.896691227532,137997.31204349917,,23723.630738431435,42973.907914231095,5598.333154598972
